/mnt/c/dev/data/kaggle/birds525/archive satisfy the requirement of birds525/archive/
YOLOv9c summary: 618 layers, 25590912 parameters, 0 gradients, 104.0 GFLOPs
valid
Failed: number_of_birds:0, label_name:AMERICAN WIGEON, image_file:1.jpg
Failed: number_of_birds:0, label_name:AMERICAN WIGEON, image_file:5.jpg
Failed: len(boxes.cls):2, label_name:BLUE HERON, image_file:2.jpg
Failed: len(boxes.cls):2, label_name:CROW, image_file:4.jpg
success_counter: 41
failure_counter_results_not_one: 0
failure_counter_no_birds: 2
failure_counter_multiple_birds: 0
failure_counter_single_bird_multiple_objects: 2
train
Failed: number_of_birds:2, label_name:AMERICAN COOT, image_file:002.jpg
Failed: len(boxes.cls):2, label_name:AMERICAN COOT, image_file:005.jpg
Failed: len(boxes.cls):2, label_name:AMERICAN COOT, image_file:013.jpg
Failed: len(boxes.cls):2, label_name:AMERICAN COOT, image_file:015.jpg
Failed: len(boxes.cls):2, label_name:AMERICAN COOT, image_file:016.jpg
Failed: number_of_birds:0, label_name:AMERICAN COOT, image_file:018.jpg
Failed: len(boxes.cls):2, label_name:AMERICAN COOT, image_file:023.jpg
Failed: number_of_birds:2, label_name:AMERICAN COOT, image_file:026.jpg
Failed: number_of_birds:2, label_name:AMERICAN COOT, image_file:033.jpg
Failed: number_of_birds:0, label_name:AMERICAN COOT, image_file:036.jpg
Failed: number_of_birds:2, label_name:AMERICAN COOT, image_file:040.jpg
Failed: number_of_birds:2, label_name:AMERICAN COOT, image_file:042.jpg
Failed: number_of_birds:0, label_name:AMERICAN COOT, image_file:043.jpg
Failed: number_of_birds:2, label_name:AMERICAN COOT, image_file:044.jpg
Failed: number_of_birds:2, label_name:AMERICAN COOT, image_file:045.jpg
Failed: number_of_birds:2, label_name:AMERICAN COOT, image_file:067.jpg
Failed: len(boxes.cls):2, label_name:AMERICAN COOT, image_file:071.jpg
Failed: number_of_birds:2, label_name:AMERICAN COOT, image_file:072.jpg
Failed: number_of_birds:2, label_name:AMERICAN COOT, image_file:074.jpg
Failed: len(boxes.cls):2, label_name:AMERICAN COOT, image_file:079.jpg
Failed: number_of_birds:2, label_name:AMERICAN COOT, image_file:092.jpg
Failed: len(boxes.cls):2, label_name:AMERICAN COOT, image_file:096.jpg
Failed: number_of_birds:2, label_name:AMERICAN COOT, image_file:097.jpg
Failed: len(boxes.cls):2, label_name:AMERICAN COOT, image_file:102.jpg
Failed: number_of_birds:0, label_name:AMERICAN COOT, image_file:103.jpg
Failed: number_of_birds:2, label_name:AMERICAN COOT, image_file:107.jpg
Failed: number_of_birds:0, label_name:AMERICAN COOT, image_file:111.jpg
